chrom1	pos1	gene1	chrom2	pos2	gene2	name	split	span	strand1	strand2
chr8	42968214	HOOK3	chr10	43116584	RET	T002	10	10	+	+
chr5	150404680	CD74	chr6	117324415	ROS1	T002	7	3	-	-
chr7	92003235	AKAP9	chr7	140787584	BRAF	T002	11	10	+	-
chr5	68281006	PIK3R1	chr5	119456315	HSD17B4	T002	9	3	+	+
chr5	68281006	PIK3R1	chr5	119456313	HSD17B4	T002	2	3	+	+
chr4	190175284	DUX4	chr14	106638525	IGHVII-60-1	T002	8	4	+	-
chr5	171391799	NPM1	chr2	29223528	ALK	T002	3	3	+	-
chr4	1806934	FGFR3	chr4	1727981	TACC3	T002	13	820	+	+
chr4	1806934	FGFR3	chr4	1727977	TACC3	T002	66	820	+	+
chr4	1807033	FGFR3	chr4	1727832	TACC3	T002	10	820	+	+
chr22	29287134	EWSR1	chr11	128807180	FLI1	T002	11	9	+	+
chr22	29287134	EWSR1	chr12	50814280	ATF1	T002	10	10	+	+
chr19	15254152	BRD4	chr15	34347969	NUTM1	T002	9	5	-	+
chr12	11869969	ETV6	chr15	87940753	NTRK3	T002	8	6	+	-
chr14	75097100	NEK9	chr14	95922781	TUNAR	T002	6	4	-	+
chr19	42295048	CIC	chr4	190174447	DUX4	T002	4	5	+	+
chr19	42295047	CIC	chr4	190174446	DUX4	T002	5	5	+	+
chr15	40561981	CCDC32	chr7	26201745	CBX3	T002	2	2	-	+
chr6	117566854	GOPC	chr6	117321394	ROS1	T002	22	73	-	-
chr6	117566854	GOPC	chr6	117320030	ROS1	T002	2	73	-	-
chr4	53425965	FIP1L1	chr4	54274925	PDGFRA	T002	48	50	+	+
chr18	58669909	MALT1-AS1	chr14	105888559	IGHD2-21	T002	3	3	+	+
chr2	42301392	EML4	chr2	29223587	ALK	T002	4	4	+	-
chr21	41494380	TMPRSS2	chr7	13935843	ETV1	T002	10	7	-	-
chr21	41494381	TMPRSS2	chr7	13935844	ETV1	T002	10	7	-	-
chr14	37579867	ENSG00000258414	chr14	37285318	MIPOL1	T001	3	9	+	+
chr14	37564362	ENSG00000258414	chr14	37308056	MIPOL1	T001	2	0	+	+
chr14	37564362	ENSG00000258414	chr14	37285318	MIPOL1	T001	14	8	+	+
chr1	247640429	ENSG00000235749	chr1	247860617	TRIM58	T001	2	0	+	+
chr9	14179727	NFIB	chr11	22674850	GAS2	T001	2	0	-	+
chr11	117204245	PCSK7	chr19	45064552	CLASRP	T001	2	0	-	+
chrX	48267278	SSX1	chr7	120988796	CPED1	T001	2	0	+	-
chr11	4848669	OR51S1	chr11	44933050	TP53I11	T001	2	0	-	-
chr14	24163056	IRF9	chr16	84659497	KLHL36	T001	2	0	+	+
chr3	4830947	ENSG00000235978	chr3	4959385	BHLHE40-AS1	T001	3	0	-	-
chr7	97928082	ENSG00000284707	chr7	97872449	ASNS	T001	3	1	-	-
chr2	240575752	RNPEPL1	chr5	36683872	SLC1A3	T001	2	0	+	+
chr6	110815009	CDK19	chr2	159729009	MARCHF7	T001	2	0	-	+
chr5	68281006	PIK3R1	chr5	119456315	HSD17B4	T001	10	1	+	+
chr3	125576189	OSBPL11	chr13	32324332	BRCA2	T001	3	1	-	-
chr4	16460812	ENSG00000248138	chr4	16536630	LDB2	T001	2	1	+	+
chr6	8026367	BLOC1S5	chr6	7904723	TXNDC5	T001	2	0	-	-
chr17	62560126	TLK2	chr7	128617865	ENSG00000281896	T001	2	0	+	+
chr3	117997182	ENSG00000239268	chr3	116444955	LSAMP	T001	2	0	-	-
chr17	44023039	TMEM101	chr9	27044742	IFT74	T001	2	0	-	+
chr10	125110990	CTBP2	chr8	136681114	LINC02055	T001	7	1	-	-
chr14	75097100	NEK9	chr14	95922781	TUNAR	T001	6	3	-	+
chr15	59217891	MYO1E	chr1	153619038	S100A13	T001	2	0	-	-
